Country,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Cyprus,Europe,622102,70056.137,3854,434.007,3854,1242,139.864,5,0.563,5
San Marino,Europe,22406,66020.39,50,147.327,0,119,350.639,0,0,0
Austria,Europe,5600568,62920.208,33534,376.741,5140,21257,238.814,26,0.292,0
Andorra,Europe,47446,61406.847,227,293.794,0,158,204.491,1,1.294,0
Slovenia,Europe,1273067,60741.958,11504,548.891,1780,8615,411.048,11,0.525,0
Gibraltar,Europe,20207,59977.442,0,0,0,110,326.497,0,0,0
Martinique,Americas,224468,59815.863,0,0,0,1071,285.398,0,0,0
Brunei Darussalam,Western Pacific,261440,59760.583,0,0,0,144,32.916,0,0,0
Jersey,Europe,63595,58995.696,432,400.757,7,142,131.73,0,0,0
Denmark,Europe,3363615,57766.648,8709,149.568,3459,7573,130.059,36,0.618,16
France,Europe,37252086,57276.219,415354,638.619,71597,155898,239.698,491,0.755,62
Iceland,Europe,207504,56985.615,103,28.286,0,229,62.889,5,1.373,0
Saint Pierre and Miquelon,Americas,3274,56496.98,24,414.15,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1923,55211.025,0,0,0,0,0,0,0,0
Israel,Europe,4735327,54708.62,10903,125.966,1621,11906,137.554,19,0.22,0
Liechtenstein,Europe,21064,54362.918,98,252.923,0,86,221.953,0,0,0
Saint Barthélemy,Americas,5348,54102.175,0,0,0,5,50.582,0,0,0
Réunion,Africa,482906,53937.175,1366,152.573,1366,905,101.082,2,0.223,2
Republic of Korea,Western Pacific,27611555,53856.044,402755,785.569,62734,30975,60.416,354,0.69,67
Portugal,Europe,5536455,53773.348,0,0,0,25345,246.166,0,0,0
Guernsey,Europe,33080,51312.279,180,279.208,0,66,102.376,1,1.551,0
Seychelles,Africa,50068,50909.535,0,0,0,171,173.874,0,0,0
Greece,Europe,5448700,50834.23,43748,408.152,0,34482,321.704,154,1.437,0
Latvia,Europe,967729,50728.19,2770,145.203,456,6108,320.18,6,0.315,1
